Group / Category;Feature Title;Feature Description;Release Date;Release Version;;;;;;;;;;;;;;;;;;;;;
Webinar features;Webinar Session Branding;Hosts can customize the appearance of the in-webinar experience by adding a wallpaper behind the video tiles, setting a common virtual background for all panelists, and providing name tags for each panelist. This requires version 5.10.0 or higher to use and/or view, but does not require this version to join the webinar.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
Webinar features;Reactions for Webinar;Webinar Attendees can use reactions, similar to reactions in meetings. The stream of submitted reactions are displayed in the bottom-right corner of the main webinar window, visible to the host, panelists, and attendees. This can be controlled within the webinar, as well as at the Account-, Group-, and User-level settings. This requires version 5.9.6 or higher to be able to send and see reactions.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
Webinar features;Hide profile pictures for unmuted or promoted attendees;Admins and webinar hosts can restrict the use of profile pictures for panelists and attendees when they are unmuted or promoted to a panelist. This feature requires version 5.3.2 or higher.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
Chat features;Cloud storage support for SharePoint;Users can set the default file storage option for newly created channels to SharePoint, the third-party cloud storage service. This also allows users to create new Office 365 documents right from cloud storage backed chat channels. Screenshots, recorded Audio Messages, and Zoom Whiteboard files will still be stored on Zoom Cloud. This feature must be enabled by Zoom.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
Chat features;Cloud storage support for Box;Users can set the default file storage option for newly created channels to Box, the third-party cloud storage service. This also allows users to create new productivity suite documents right from cloud storage backed chat channels. The Box integration can use Office 365, Google Workspace Docs, or Box Notes. Screenshots, Recorded Audio Messages, and Zoom Whiteboard files will still be stored on Zoom Cloud. This feature must be enabled by Zoom.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
Chat features;Folders for grouping chats and channels;Users can group and self-organize their channels and chats in a way that declutters their sidebar to find their conversations quickly. Users can create up to 200 folders, with each folder having up to 50 chats or channels within. Items within a folder can be dragged and dropped into any order. This feature will not be immediately available, as it is dependent on a backend server update currently scheduled for March 28, 2022.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
Chat features;Hover to preview unread messages;When hovering on the unread message notification on a collapsed sidebar section or folder, a preview window will appear to show what hidden chat or channel has an unread message. Clicking on the preview will open that chat or channel.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
Chat features;Create multiple group chats with different topics but same user group;When starting a new group chat with the same group of users, you can choose to start a new group chat with a new topic, instead of jumping to the existing group chat. This allows for the same group of users to create different group chats for different topics.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
Chat features;Customizable left sidebar;Users can select the elements they want to view at the top of their left sidebar (missed calls, contact requests, bookmarks, files), as well as customize the behavior and look of the left sidebar.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
Chat features;Enhancements to the channel information panel;Located on the right side of Zoom Chat channels, channel information has improved visibility and provides users with streamlined channel information, members, files, bookmark information, pin history, and channel-related notifications and options.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
Chat features;Deep linking for chat and channels;With support for deep linking, a user can create shareable links to public channels or specific messages in the channel, and then share links within or outside of Zoom to open directly in Zoom Chat. Only users with existing access and those who belong to the same account with the channel admin, will be able to join and view referenced channels.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
Chat features;Video messaging;Users can send short video messages to others. Asynchronous video allows users the time to consider their responses and then record as needed to provide thoughtfully crafted responses.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
Chat features;Open chat in new window from notification;Users can enable chat notifications to open the chat or channel in a new window when accessed through the system push notification directly.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
Chat features;Send chat message to contact from Profile card;Users can easily multi-task and send multiple chat messages without leaving their screen by sending a quick chat message to someone from their profile card.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
Chat features;Find and join public chat channels from Search;Users can search for a public channel to join from the main Search field. Channels they already are members of are visually differentiated from public channels they are not a member of. They can then preview or join the channel directly from the search results.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
Chat features;Improved link previews for LinkedIn;Link previews for LinkedIn URLs are more consistent.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
Chat features;Quick actions on hover for images and files;Actions to share, copy, download, open, and add to emoji are more readily available when hovering your mouse over a sent image or file in Zoom Chat.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
Phone features;Forward voicemail;Users can forward individual voicemail messages to other users in the same account. Forwarded voicemails can be viewed in the desktop client or web portal. Forwarded voicemails can be marked private to prevent re-forwarding and downloading. This feature must be enabled by Zoom.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
Contact Center features;View and monitor outbound calls;Supervisors can use the Engagement tab to view details on outbound calls that agents made from the supervisor’s assigned queues. Supervisors can also monitor agents’ outbound calls from these queues (listen, whisper, barge, and takeover).;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
Contact Center features;Select outbound caller ID number;Agents can select an outbound caller ID number belonging to an associated queue before they make an outbound call.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
Contact Center features;Invite by phone during video calls;During video calls, agents can invite a participant to the calls by calling out a phone number. The participant can answer the phone to join the video call by phone.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
Contact Center features;Enhancement to Closed Engagements tab;The Close Engagements tab shows information on all closed engagements (voice and video). Previously, only voice engagements were supported.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
Contact Center features;General UI enhancements;The UI of the Contact Center tab has been improved so that supervisors and agents can better view after resizing the Zoom window.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
Contact Center features;Notification when voice call is taken over;When a supervisor or another agent takes over a voice call, the original agent on the call will see a banner message notifying them that another user is taking over the call.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
Contact Center features;Sound notification enhancements for customers;Customers will hear a sound notification while in the Waiting Room for video engagements when an agent has accepted the engagement. They will also hear a notification when another participant joins the call.;March 21, 2022;version 5.10.0 (4306);;;;;;;;;;;;;;;;;;;;;
